fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2018-12-31,USD,11285000000,50193000000,28846000000,12479000000,-17153000000,23995000000,None,28438000000,None,3806000000,13892000000,10086000000,36301000000,None,None,1844000000,11098000000,2350000000,10086000000,8887000000,9953000000,21184000000,23028000000,8748000000,MS
2017-12-31,USD,10359000000,43642000000,27564000000,7790000000,-17688000000,23768000000,None,28047000000,None,3300000000,8997000000,5697000000,34645000000,None,None,1753000000,10279000000,4168000000,5697000000,6235000000,5694000000,15976000000,17729000000,6111000000,MS
2016-12-31,USD,9809000000,37949000000,25914000000,5238000000,-16617000000,22377000000,None,26426000000,None,3698000000,7016000000,3318000000,30933000000,None,None,1736000000,8705000000,2726000000,3318000000,6122000000,5304000000,12023000000,13759000000,5979000000,MS
2015-12-31,USD,9307000000,37897000000,26747000000,4634000000,-17421000000,22849000000,None,26728000000,None,3093000000,5835000000,2742000000,32062000000,None,None,1433000000,8327000000,2200000000,2742000000,6295000000,5719000000,11069000000,12502000000,6127000000,MS
2014-12-31,USD,3590000000,34275000000,30685000000,25694000000,-23870000000,24382000000,None,27460000000,None,1735000000,5413000000,3678000000,32540000000,None,None,1161000000,3377000000,-90000000,3678000000,3481000000,3312000000,7055000000,8216000000,3467000000,MS
2013-12-31,USD,4482000000,32493000000,27935000000,25333000000,-21756000000,19425000000,None,30669000000,None,778000000,5209000000,4431000000,31715000000,None,None,1511000000,3834000000,902000000,4431000000,2975000000,2355000000,8265000000,9776000000,2932000000,MS
2012-12-31,USD,515000000,26178000000,25597000000,181000000,-25244000000,18902000000,None,31654000000,None,-205000000,5692000000,5897000000,26383000000,36000000,None,1581000000,-93000000,-161000000,5895000000,138000000,-291000000,5804000000,7385000000,68000000,MS
2011-12-31,USD,6114000000,32227000000,26289000000,1777000000,-19294000000,19601000000,None,32160000000,None,351000000,7234000000,6883000000,31876000000,-241000000,None,1404000000,5524000000,1414000000,6752000000,4168000000,4420000000,12407000000,13811000000,4110000000,MS
2010-12-31,USD,6202000000,31230000000,25420000000,1973000000,-19440000000,19083000000,None,32056000000,None,898000000,7305000000,6407000000,30332000000,-307000000,None,1419000000,5446000000,743000000,6414000000,4469000000,4796000000,11853000000,13272000000,4703000000,MS
2009-12-31,USD,857000000,23280000000,22501000000,1681000000,-21847000000,16313000000,None,28925000000,None,790000000,7477000000,6687000000,22490000000,None,None,1224000000,1049000000,-297000000,6221000000,1383000000,1206000000,7736000000,8960000000,1346000000,MS
2023-10-29,USD,12384000000,26274000000,16276000000,14133000000,7654000000,1628000000,3102000000,4730000000,262000000,-238000000,300000000,238000000,26512000000,300000000,471000000,515000000,7716000000,860000000,238000000,6856000000,6841000000,7954000000,8469000000,6856000000,AMAT
2022-10-30,USD,11993000000,25590000000,15670000000,13792000000,7788000000,1438000000,2771000000,4205000000,44000000,-228000000,39000000,228000000,25818000000,39000000,404000000,444000000,7599000000,1074000000,228000000,6525000000,6583000000,7827000000,8271000000,6525000000,AMAT
